text,category,priority
"not getting proper meals daily, not sure what to do for routine support",Food,LOW
Water scarcity is affecting daily life in region 366. for routine support,Water,LOW
"classrooms overcrowded, urgent attention needed due to a critical situation",Education,HIGH
Many families are impacted due to lack of proper health resources. Case 697 with people in urgent distress,Health,HIGH
Community 302 is recovering from cyclone damage. to prepare for upcoming needs,Disaster,LOW
Sanitation infrastructure is inadequate in zone 370. for timely assistance,Sanitation,MEDIUM
People in this area are facing severe issues related to health and need support immediately. Case 860 as lives are at immediate risk,Health,HIGH
"In the resettlement site, medicines are not available for common illnesses the last 10 days, the elderly can't cope. for timely assistance",Health,MEDIUM
Workers in locality 156 are struggling to find jobs. as lives are at immediate risk,Livelihood,HIGH
Water scarcity is affecting daily life in region 34. following a severe disaster,Water,HIGH
Water scarcity is affecting daily life in region 26. for timely assistance,Water,MEDIUM
Livelihood support is required for households in zone 294. for timely assistance,Livelihood,MEDIUM
There has been a continuous problem with education services affecting daily life. Case 275 for routine support,Education,LOW
People in area 285 need skill development opportunities. to help the affected community,Livelihood,MEDIUM
"food not enough for family, not sure what to do to help the affected community",Food,MEDIUM
The situation regarding education has worsened significantly in recent days. Case 519 as a general requirement,Education,LOW
The situation regarding education has worsened significantly in recent days. Case 522 for future planning,Education,LOW
Infrastructure development is needed in zone 271. to prepare for upcoming needs,Infrastructure,LOW
Household 90 reports lack of clean drinking water access. with people in urgent distress,Water,HIGH
Relief support is needed after disaster in locality 144. as a general requirement,Disaster,LOW
"house leaking in rain, not sure what to do for timely assistance",Shelter,MEDIUM
Natural disaster has disrupted life in zone 369. with people in urgent distress,Disaster,HIGH
Roads in village 319 are damaged and unsafe. to help the affected community,Infrastructure,MEDIUM
Waste disposal systems are absent in locality 342. for future planning,Sanitation,LOW
Residents report ongoing health problems making survival difficult. Case 847 with people in urgent distress,Health,HIGH
Earthquake impact is severe in region 100. to prepare for upcoming needs,Disaster,LOW
"no teacher coming regularly, getting worse daily as part of current needs",Education,MEDIUM
Flooding has displaced families in area 408. with people in urgent distress,Disaster,HIGH
Roads in village 242 are damaged and unsafe. as a general requirement,Infrastructure,LOW
Bridges in area 396 require urgent repair. to prepare for upcoming needs,Infrastructure,LOW
People in this area are facing severe issues related to education and need support immediately. Case 380 to help the affected community,Education,MEDIUM
Open defecation is common in region 279. following a severe disaster,Sanitation,HIGH
classrooms overcrowded following a severe disaster,Education,HIGH
Waste disposal systems are absent in locality 294. to prepare for upcoming needs,Sanitation,LOW
Flooding has displaced families in area 57. for future planning,Disaster,LOW
There has been a continuous problem with food services affecting daily life. Case 883 as lives are at immediate risk,Food,HIGH
Unemployment is rising in community 118. to support ongoing recovery,Livelihood,MEDIUM
Public transport is unavailable in locality 328. as part of current needs,Infrastructure,MEDIUM
Household 253 reports lack of clean drinking water access. for routine support,Water,LOW
People in area 229 need skill development opportunities. for routine support,Livelihood,LOW
Infrastructure development is needed in zone 123. as a general requirement,Infrastructure,LOW
"food not enough for family, very difficult situation with people in urgent distress",Food,HIGH
"pls help no doctor here, getting worse daily for timely assistance",Health,MEDIUM
Community 15 depends on contaminated water sources. with people in urgent distress,Water,HIGH
Many families are impacted due to lack of proper education resources. Case 721 to support ongoing recovery,Education,MEDIUM
Waste disposal systems are absent in locality 70. for future planning,Sanitation,LOW
Electricity supply is unreliable in region 388. to help the affected community,Infrastructure,MEDIUM
Household 356 reports lack of clean drinking water access. as a general requirement,Water,LOW
Village 73 requires installation of water supply systems. with people in urgent distress,Water,HIGH
Electricity supply is unreliable in region 365. as a general requirement,Infrastructure,LOW
Public transport is unavailable in locality 175. to prepare for upcoming needs,Infrastructure,LOW
Roads in village 79 are damaged and unsafe. to help the affected community,Infrastructure,MEDIUM
Community 75 is recovering from cyclone damage. with people in urgent distress,Disaster,HIGH
"In this rural community, midday meal stopped and kids not coming to school after the heavy rains, disabled people are at risk. following a severe disaster",Education,HIGH
Unemployment is rising in community 239. for routine support,Livelihood,LOW
Community 58 is facing hygiene issues due to poor sanitation. to prepare for upcoming needs,Sanitation,LOW
People in this area are facing severe issues related to education and need support immediately. Case 726 to prepare for upcoming needs,Education,LOW
Many families are impacted due to lack of proper shelter resources. Case 943 for timely assistance,Shelter,MEDIUM
Residents in area 395 walk long distances for water collection. following a severe disaster,Water,HIGH
Residents report ongoing food problems making survival difficult. Case 690 to help the affected community,Food,MEDIUM
Residents report ongoing health problems making survival difficult. Case 837 to help the affected community,Health,MEDIUM
Open defecation is common in region 120. as lives are at immediate risk,Sanitation,HIGH
The situation regarding shelter has worsened significantly in recent days. Case 707 for future planning,Shelter,LOW
Infrastructure development is needed in zone 8. as a general requirement,Infrastructure,LOW
Sanitation infrastructure is inadequate in zone 179. to help the affected community,Sanitation,MEDIUM
"pls help no doctor here, getting worse daily for future planning",Health,LOW
not getting proper meals daily as lives are at immediate risk,Food,HIGH
Residents report ongoing health problems making survival difficult. Case 312 as lives are at immediate risk,Health,HIGH
Village 333 requires installation of water supply systems. as part of current needs,Water,MEDIUM
Residents report ongoing education problems making survival difficult. Case 880 for timely assistance,Education,MEDIUM
Unemployment is rising in community 250. to prepare for upcoming needs,Livelihood,LOW
The situation regarding health has worsened significantly in recent days. Case 368 following a severe disaster,Health,HIGH
Open defecation is common in region 397. due to a critical situation,Sanitation,HIGH
Electricity supply is unreliable in region 119. as a general requirement,Infrastructure,LOW
Village 218 requires installation of water supply systems. following a severe disaster,Water,HIGH
"learning stopped almost, cant manage anymore as a general requirement",Education,LOW
Education related issue reported in area 402 requiring attention. following a severe disaster,Education,HIGH
The situation regarding education has worsened significantly in recent days. Case 258 as part of current needs,Education,MEDIUM
Flooding has displaced families in area 332. to help the affected community,Disaster,MEDIUM
Sanitation infrastructure is inadequate in zone 235. to support ongoing recovery,Sanitation,MEDIUM
Waste disposal systems are absent in locality 412. as part of current needs,Sanitation,MEDIUM
Water scarcity is affecting daily life in region 385. to help the affected community,Water,MEDIUM
There has been a continuous problem with education services affecting daily life. Case 900 to support ongoing recovery,Education,MEDIUM
Community 109 is recovering from cyclone damage. due to a critical situation,Disaster,HIGH
Workers in locality 333 are struggling to find jobs. to prepare for upcoming needs,Livelihood,LOW
Sanitation infrastructure is inadequate in zone 288. as a general requirement,Sanitation,LOW
Community 363 depends on contaminated water sources. with people in urgent distress,Water,HIGH
Residents in area 342 walk long distances for water collection. due to a critical situation,Water,HIGH
People in this area are facing severe issues related to food and need support immediately. Case 873 to support ongoing recovery,Food,MEDIUM
Health related issue reported in area 411 requiring attention. to prepare for upcoming needs,Health,LOW
Many families are impacted due to lack of proper food resources. Case 558 with people in urgent distress,Food,HIGH
People in area 20 need skill development opportunities. with people in urgent distress,Livelihood,HIGH
Bridges in area 320 require urgent repair. with people in urgent distress,Infrastructure,HIGH
"not getting proper meals daily, getting worse daily to help the affected community",Food,MEDIUM
Livelihood support is required for households in zone 193. as lives are at immediate risk,Livelihood,HIGH
Many families are impacted due to lack of proper food resources. Case 704 to support ongoing recovery,Food,MEDIUM
Waste disposal systems are absent in locality 20. following a severe disaster,Sanitation,HIGH
Natural disaster has disrupted life in zone 117. for timely assistance,Disaster,MEDIUM
Waste disposal systems are absent in locality 392. due to a critical situation,Sanitation,HIGH
Families in region 69 lack stable income sources. to support ongoing recovery,Livelihood,MEDIUM
Earthquake impact is severe in region 346. for timely assistance,Disaster,MEDIUM
"house leaking in rain, pls help for timely assistance",Shelter,MEDIUM
Waste disposal systems are absent in locality 68. due to a critical situation,Sanitation,HIGH
There has been a continuous problem with shelter services affecting daily life. Case 219 for future planning,Shelter,LOW
Unemployment is rising in community 282. as part of current needs,Livelihood,MEDIUM
Earthquake impact is severe in region 251. as part of current needs,Disaster,MEDIUM
Many families are impacted due to lack of proper education resources. Case 566 to help the affected community,Education,MEDIUM
Infrastructure development is needed in zone 43. to support ongoing recovery,Infrastructure,MEDIUM
"no proper place to stay, affecting everyone here as a general requirement",Shelter,LOW
Residents report ongoing food problems making survival difficult. Case 421 due to a critical situation,Food,HIGH
Public transport is unavailable in locality 274. for routine support,Infrastructure,LOW
Natural disaster has disrupted life in zone 51. as lives are at immediate risk,Disaster,HIGH
Village 382 requires installation of water supply systems. with people in urgent distress,Water,HIGH
Residents in area 124 walk long distances for water collection. for routine support,Water,LOW
There has been a continuous problem with food services affecting daily life. Case 155 for timely assistance,Food,MEDIUM
Relief support is needed after disaster in locality 348. to prepare for upcoming needs,Disaster,LOW
Community 104 is facing hygiene issues due to poor sanitation. for timely assistance,Sanitation,MEDIUM
Household 297 reports lack of clean drinking water access. following a severe disaster,Water,HIGH
Infrastructure development is needed in zone 91. for future planning,Infrastructure,LOW
The situation regarding food has worsened significantly in recent days. Case 299 to support ongoing recovery,Food,MEDIUM
Workers in locality 28 are struggling to find jobs. as a general requirement,Livelihood,LOW
Many families are impacted due to lack of proper food resources. Case 64 as part of current needs,Food,MEDIUM
Residents in area 224 walk long distances for water collection. to help the affected community,Water,MEDIUM
Community 11 depends on contaminated water sources. to support ongoing recovery,Water,MEDIUM
Residents report ongoing food problems making survival difficult. Case 195 as lives are at immediate risk,Food,HIGH
Residents report ongoing health problems making survival difficult. Case 261 as lives are at immediate risk,Health,HIGH
Open defecation is common in region 0. as lives are at immediate risk,Sanitation,HIGH
People in area 311 need skill development opportunities. due to a critical situation,Livelihood,HIGH
Workers in locality 29 are struggling to find jobs. as lives are at immediate risk,Livelihood,HIGH
Earthquake impact is severe in region 337. for future planning,Disaster,LOW
The situation regarding education has worsened significantly in recent days. Case 189 for routine support,Education,LOW
Many families are impacted due to lack of proper shelter resources. Case 175 for routine support,Shelter,LOW
Residents in area 201 walk long distances for water collection. with people in urgent distress,Water,HIGH
"no food since 2 days, cant manage anymore following a severe disaster",Food,HIGH
People in this area are facing severe issues related to food and need support immediately. Case 715 due to a critical situation,Food,HIGH
People in this area are facing severe issues related to education and need support immediately. Case 563 as part of current needs,Education,MEDIUM
Many families are impacted due to lack of proper education resources. Case 178 to prepare for upcoming needs,Education,LOW
"people sick no clinic open, needs improvement to help the affected community",Health,MEDIUM
Many families are impacted due to lack of proper education resources. Case 171 for timely assistance,Education,MEDIUM
Earthquake impact is severe in region 47. due to a critical situation,Disaster,HIGH
Many families are impacted due to lack of proper health resources. Case 644 as part of current needs,Health,MEDIUM
Many families are impacted due to lack of proper shelter resources. Case 910 to help the affected community,Shelter,MEDIUM
Infrastructure development is needed in zone 149. as lives are at immediate risk,Infrastructure,HIGH
learning stopped almost for timely assistance,Education,MEDIUM
"classrooms overcrowded, pls help to support ongoing recovery",Education,MEDIUM
Earthquake impact is severe in region 49. as part of current needs,Disaster,MEDIUM
no proper place to stay as a general requirement,Shelter,LOW
Electricity supply is unreliable in region 146. to help the affected community,Infrastructure,MEDIUM
Infrastructure development is needed in zone 198. as part of current needs,Infrastructure,MEDIUM
Waste disposal systems are absent in locality 134. for future planning,Sanitation,LOW
Roads in village 167 are damaged and unsafe. for future planning,Infrastructure,LOW
Residents report ongoing food problems making survival difficult. Case 926 as lives are at immediate risk,Food,HIGH
"We need more space or extensions for growing families for the past week, my family is in trouble. We really need help soon because my family is in trouble. to prepare for upcoming needs",Shelter,LOW
"In the slum area, community wants better ventilation in houses for more than two weeks, the whole neighborhood is struggling. to prepare for upcoming needs",Shelter,LOW
Sanitation infrastructure is inadequate in zone 367. with people in urgent distress,Sanitation,HIGH
Community 245 is recovering from cyclone damage. due to a critical situation,Disaster,HIGH
Unemployment is rising in community 397. for timely assistance,Livelihood,MEDIUM
Natural disaster has disrupted life in zone 189. to help the affected community,Disaster,MEDIUM
People in this area are facing severe issues related to shelter and need support immediately. Case 263 for timely assistance,Shelter,MEDIUM
Residents in area 234 walk long distances for water collection. to help the affected community,Water,MEDIUM
Household 168 reports lack of clean drinking water access. for timely assistance,Water,MEDIUM
"Awareness on home maintenance ever since the storm, the elderly can't cope. for routine support",Shelter,LOW
"No electricity in the shelter area ever since the storm, disabled people are at risk but has roof. We really need help soon because disabled people are at risk. to support ongoing recovery",Shelter,MEDIUM
Families in region 394 lack stable income sources. for future planning,Livelihood,LOW
Residents report ongoing food problems making survival difficult. Case 444 with people in urgent distress,Food,HIGH
"need urgent medical help, affecting everyone here to prepare for upcoming needs",Health,LOW
People in this area are facing severe issues related to shelter and need support immediately. Case 104 following a severe disaster,Shelter,HIGH
Many families are impacted due to lack of proper food resources. Case 706 to support ongoing recovery,Food,MEDIUM
Village 323 requires installation of water supply systems. to support ongoing recovery,Water,MEDIUM
Bridges in area 292 require urgent repair. as a general requirement,Infrastructure,LOW
Bridges in area 411 require urgent repair. to support ongoing recovery,Infrastructure,MEDIUM
Relief support is needed after disaster in locality 224. to help the affected community,Disaster,MEDIUM
Village 273 requires installation of water supply systems. for future planning,Water,LOW
Household 75 reports lack of clean drinking water access. as a general requirement,Water,LOW
"classrooms overcrowded, need support soon for timely assistance",Education,MEDIUM
"too many people small space, affecting everyone here with people in urgent distress",Shelter,HIGH
Village 18 requires installation of water supply systems. following a severe disaster,Water,HIGH
Relief support is needed after disaster in locality 193. as a general requirement,Disaster,LOW
Residents report ongoing food problems making survival difficult. Case 661 for timely assistance,Food,MEDIUM
Flooding has displaced families in area 143. for timely assistance,Disaster,MEDIUM
Electricity supply is unreliable in region 174. to support ongoing recovery,Infrastructure,MEDIUM
People in this area are facing severe issues related to education and need support immediately. Case 61 for routine support,Education,LOW
"no teacher coming regularly, getting worse daily to prepare for upcoming needs",Education,LOW
Residents in area 370 walk long distances for water collection. for routine support,Water,LOW
Area 129 lacks proper sanitation and toilet facilities. to prepare for upcoming needs,Sanitation,LOW
Community 183 depends on contaminated water sources. to prepare for upcoming needs,Water,LOW
Many families are impacted due to lack of proper food resources. Case 173 to support ongoing recovery,Food,MEDIUM
"not getting proper meals daily, needs improvement as part of current needs",Food,MEDIUM
"In the slum area, the food supplies are irregular for more than two weeks, disabled people are at risk but not starving yet. to help the affected community",Food,MEDIUM
Workers in locality 348 are struggling to find jobs. for routine support,Livelihood,LOW
Residents report ongoing education problems making survival difficult. Case 538 for timely assistance,Education,MEDIUM
Village 38 requires installation of water supply systems. to prepare for upcoming needs,Water,LOW
People in area 225 need skill development opportunities. for timely assistance,Livelihood,MEDIUM
Household 399 reports lack of clean drinking water access. to support ongoing recovery,Water,MEDIUM
"ration finished early this month, getting worse daily with people in urgent distress",Food,HIGH
"need urgent medical help, affecting everyone here due to a critical situation",Health,HIGH
There has been a continuous problem with shelter services affecting daily life. Case 969 to prepare for upcoming needs,Shelter,LOW
People in this area are facing severe issues related to shelter and need support immediately. Case 497 to help the affected community,Shelter,MEDIUM
There has been a continuous problem with health services affecting daily life. Case 58 following a severe disaster,Health,HIGH
Open defecation is common in region 411. to support ongoing recovery,Sanitation,MEDIUM
Infrastructure development is needed in zone 118. for routine support,Infrastructure,LOW
Open defecation is common in region 270. to support ongoing recovery,Sanitation,MEDIUM
Electricity supply is unreliable in region 193. for routine support,Infrastructure,LOW
People in this area are facing severe issues related to food and need support immediately. Case 277 with people in urgent distress,Food,HIGH
Relief support is needed after disaster in locality 40. to support ongoing recovery,Disaster,MEDIUM
There has been a continuous problem with health services affecting daily life. Case 949 as part of current needs,Health,MEDIUM
Roads in village 147 are damaged and unsafe. to prepare for upcoming needs,Infrastructure,LOW
Livelihood support is required for households in zone 131. with people in urgent distress,Livelihood,HIGH
Natural disaster has disrupted life in zone 179. for timely assistance,Disaster,MEDIUM
People in this area are facing severe issues related to health and need support immediately. Case 98 due to a critical situation,Health,HIGH
People in this area are facing severe issues related to education and need support immediately. Case 589 as a general requirement,Education,LOW
There has been a continuous problem with food services affecting daily life. Case 300 following a severe disaster,Food,HIGH
"There is lack of nutritious food for more than two weeks, the community is desperate need better options. as part of current needs",Food,MEDIUM
"kids hungry, meals skipped, needs improvement to help the affected community",Food,MEDIUM
The situation regarding health has worsened significantly in recent days. Case 968 with people in urgent distress,Health,HIGH
Relief support is needed after disaster in locality 271. for routine support,Disaster,LOW
"kids not studying properly, need support soon due to a critical situation",Education,HIGH
Earthquake impact is severe in region 350. to support ongoing recovery,Disaster,MEDIUM
Electricity supply is unreliable in region 89. as part of current needs,Infrastructure,MEDIUM
"No proper meals since the disaster ever since the storm, kids are getting weak urgently. We really need help soon because kids are getting weak. as lives are at immediate risk",Food,HIGH
Community 26 is recovering from cyclone damage. to help the affected community,Disaster,MEDIUM
People in this area are facing severe issues related to food and need support immediately. Case 810 to support ongoing recovery,Food,MEDIUM
People in this area are facing severe issues related to health and need support immediately. Case 962 with people in urgent distress,Health,HIGH
"house leaking in rain, cant manage anymore to support ongoing recovery",Shelter,MEDIUM
Area 88 lacks proper sanitation and toilet facilities. as part of current needs,Sanitation,MEDIUM
Electricity supply is unreliable in region 197. due to a critical situation,Infrastructure,HIGH
"many falling ill here, not sure what to do for timely assistance",Health,MEDIUM
Electricity supply is unreliable in region 10. for future planning,Infrastructure,LOW
Livelihood support is required for households in zone 23. as part of current needs,Livelihood,MEDIUM
Unemployment is rising in community 103. for routine support,Livelihood,LOW
Infrastructure development is needed in zone 220. to help the affected community,Infrastructure,MEDIUM
Residents report ongoing health problems making survival difficult. Case 94 following a severe disaster,Health,HIGH
Residents report ongoing food problems making survival difficult. Case 417 for timely assistance,Food,MEDIUM
Community 36 is recovering from cyclone damage. for routine support,Disaster,LOW
Village 67 requires installation of water supply systems. for routine support,Water,LOW
"In our village, the school is completely destroyed after disaster over the past few days, school going kids are impacted kids have no place to study. We really need help soon because school going kids are impacted. as lives are at immediate risk",Education,HIGH
Natural disaster has disrupted life in zone 63. for timely assistance,Disaster,MEDIUM
Natural disaster has disrupted life in zone 325. as a general requirement,Disaster,LOW
Household 91 reports lack of clean drinking water access. for timely assistance,Water,MEDIUM
The situation regarding education has worsened significantly in recent days. Case 931 as a general requirement,Education,LOW
Area 17 lacks proper sanitation and toilet facilities. as lives are at immediate risk,Sanitation,HIGH
Household 316 reports lack of clean drinking water access. due to a critical situation,Water,HIGH
There has been a continuous problem with shelter services affecting daily life. Case 150 to prepare for upcoming needs,Shelter,LOW
Area 67 lacks proper sanitation and toilet facilities. for timely assistance,Sanitation,MEDIUM
People in area 87 need skill development opportunities. following a severe disaster,Livelihood,HIGH
Relief support is needed after disaster in locality 347. following a severe disaster,Disaster,HIGH
"ration finished early this month, very difficult situation due to a critical situation",Food,HIGH
There has been a continuous problem with education services affecting daily life. Case 357 to prepare for upcoming needs,Education,LOW
"There is no food in our area in this drought, school going kids are impacted from starvation. We really need help soon because school going kids are impacted. following a severe disaster",Food,HIGH
"roof broken unsafe living, affecting everyone here for routine support",Shelter,LOW
"no teacher coming regularly, getting worse daily as lives are at immediate risk",Education,HIGH
Community 360 depends on contaminated water sources. for timely assistance,Water,MEDIUM
Many families are impacted due to lack of proper shelter resources. Case 229 for routine support,Shelter,LOW
Families in region 378 lack stable income sources. to prepare for upcoming needs,Livelihood,LOW
"people sick no clinic open, cant manage anymore to help the affected community",Health,MEDIUM
"no food since 2 days, affecting everyone here for timely assistance",Food,MEDIUM
Relief support is needed after disaster in locality 203. with people in urgent distress,Disaster,HIGH
Community 259 depends on contaminated water sources. to help the affected community,Water,MEDIUM
Residents report ongoing food problems making survival difficult. Case 133 as lives are at immediate risk,Food,HIGH
Flooding has displaced families in area 169. as part of current needs,Disaster,MEDIUM
Unemployment is rising in community 380. with people in urgent distress,Livelihood,HIGH
There has been a continuous problem with health services affecting daily life. Case 270 as lives are at immediate risk,Health,HIGH
"need urgent medical help, getting worse daily with people in urgent distress",Health,HIGH
Livelihood support is required for households in zone 124. to support ongoing recovery,Livelihood,MEDIUM
Household 390 reports lack of clean drinking water access. to prepare for upcoming needs,Water,LOW
Residents report ongoing education problems making survival difficult. Case 711 for routine support,Education,LOW
Water scarcity is affecting daily life in region 354. for timely assistance,Water,MEDIUM
"The hut is broken and no place to sleep safely in this drought, school going kids are impacted. with people in urgent distress",Shelter,HIGH
Many families are impacted due to lack of proper health resources. Case 617 as part of current needs,Health,MEDIUM
Residents report ongoing health problems making survival difficult. Case 377 with people in urgent distress,Health,HIGH
Infrastructure development is needed in zone 113. due to a critical situation,Infrastructure,HIGH
Open defecation is common in region 55. as part of current needs,Sanitation,MEDIUM
Infrastructure development is needed in zone 356. to help the affected community,Infrastructure,MEDIUM
Unemployment is rising in community 218. for future planning,Livelihood,LOW
Many families are impacted due to lack of proper shelter resources. Case 183 for routine support,Shelter,LOW
Families in region 324 lack stable income sources. due to a critical situation,Livelihood,HIGH
Earthquake impact is severe in region 342. with people in urgent distress,Disaster,HIGH
Electricity supply is unreliable in region 192. to support ongoing recovery,Infrastructure,MEDIUM
Workers in locality 99 are struggling to find jobs. as part of current needs,Livelihood,MEDIUM
Residents in area 225 walk long distances for water collection. for routine support,Water,LOW
Residents report ongoing health problems making survival difficult. Case 479 as part of current needs,Health,MEDIUM
Relief support is needed after disaster in locality 256. due to a critical situation,Disaster,HIGH
Village 33 requires installation of water supply systems. for timely assistance,Water,MEDIUM
Many families are impacted due to lack of proper health resources. Case 166 following a severe disaster,Health,HIGH
Open defecation is common in region 362. following a severe disaster,Sanitation,HIGH
Unemployment is rising in community 96. for timely assistance,Livelihood,MEDIUM
Infrastructure development is needed in zone 256. due to a critical situation,Infrastructure,HIGH
"In my locality, we have not had proper meals since last month and my family is in trouble. following a severe disaster",Food,HIGH
People in area 153 need skill development opportunities. with people in urgent distress,Livelihood,HIGH
Natural disaster has disrupted life in zone 142. to help the affected community,Disaster,MEDIUM
"Starvation is a big problem here over the past few days, disabled people are at risk and it's life threatening. with people in urgent distress",Food,HIGH
Residents report ongoing shelter problems making survival difficult. Case 222 for future planning,Shelter,LOW
no medicine available nearby to support ongoing recovery,Health,MEDIUM
People in this area are facing severe issues related to education and need support immediately. Case 369 as a general requirement,Education,LOW
Bridges in area 245 require urgent repair. to prepare for upcoming needs,Infrastructure,LOW
Water scarcity is affecting daily life in region 378. as lives are at immediate risk,Water,HIGH
Community 268 is recovering from cyclone damage. for future planning,Disaster,LOW
There has been a continuous problem with health services affecting daily life. Case 405 with people in urgent distress,Health,HIGH
Families in region 108 lack stable income sources. due to a critical situation,Livelihood,HIGH
The situation regarding education has worsened significantly in recent days. Case 619 for future planning,Education,LOW
Natural disaster has disrupted life in zone 19. with people in urgent distress,Disaster,HIGH
Bridges in area 150 require urgent repair. as part of current needs,Infrastructure,MEDIUM
Village 393 requires installation of water supply systems. to prepare for upcoming needs,Water,LOW
The situation regarding shelter has worsened significantly in recent days. Case 82 due to a critical situation,Shelter,HIGH
"house leaking in rain, very difficult situation for future planning",Shelter,LOW
Household 221 reports lack of clean drinking water access. to help the affected community,Water,MEDIUM
Flooding has displaced families in area 216. due to a critical situation,Disaster,HIGH
Open defecation is common in region 15. to help the affected community,Sanitation,MEDIUM
Community 334 is recovering from cyclone damage. to help the affected community,Disaster,MEDIUM
Infrastructure development is needed in zone 359. following a severe disaster,Infrastructure,HIGH
"No awareness programs on hygiene the last 10 days, pregnant women need help but could help. for timely assistance",Health,MEDIUM
People in area 381 need skill development opportunities. as part of current needs,Livelihood,MEDIUM
Electricity supply is unreliable in region 165. as a general requirement,Infrastructure,LOW
Food related issue reported in area 402 requiring attention. for routine support,Food,LOW
Residents report ongoing shelter problems making survival difficult. Case 904 as a general requirement,Shelter,LOW
Water scarcity is affecting daily life in region 47. as part of current needs,Water,MEDIUM
Bridges in area 70 require urgent repair. as a general requirement,Infrastructure,LOW
Roads in village 312 are damaged and unsafe. for future planning,Infrastructure,LOW
Relief support is needed after disaster in locality 368. for timely assistance,Disaster,MEDIUM
Public transport is unavailable in locality 14. as part of current needs,Infrastructure,MEDIUM
People in this area are facing severe issues related to education and need support immediately. Case 777 for routine support,Education,LOW
Residents report ongoing education problems making survival difficult. Case 20 as part of current needs,Education,MEDIUM
Sanitation infrastructure is inadequate in zone 403. as lives are at immediate risk,Sanitation,HIGH
Community 64 is facing hygiene issues due to poor sanitation. for routine support,Sanitation,LOW
Flooding has displaced families in area 373. following a severe disaster,Disaster,HIGH
Residents report ongoing shelter problems making survival difficult. Case 966 for timely assistance,Shelter,MEDIUM
Water scarcity is affecting daily life in region 255. to help the affected community,Water,MEDIUM
Village 294 requires installation of water supply systems. to support ongoing recovery,Water,MEDIUM
Unemployment is rising in community 336. for routine support,Livelihood,LOW
People in area 147 need skill development opportunities. following a severe disaster,Livelihood,HIGH
People in area 221 need skill development opportunities. as a general requirement,Livelihood,LOW
People in this area are facing severe issues related to food and need support immediately. Case 578 to support ongoing recovery,Food,MEDIUM
Livelihood support is required for households in zone 298. for timely assistance,Livelihood,MEDIUM
Earthquake impact is severe in region 172. following a severe disaster,Disaster,HIGH
Residents report ongoing food problems making survival difficult. Case 25 to help the affected community,Food,MEDIUM
Village 13 requires installation of water supply systems. with people in urgent distress,Water,HIGH
Water scarcity is affecting daily life in region 318. to prepare for upcoming needs,Water,LOW
"There is no food in our area after the heavy rains, my family is in trouble from starvation. with people in urgent distress",Food,HIGH
Village 220 requires installation of water supply systems. following a severe disaster,Water,HIGH
Natural disaster has disrupted life in zone 79. as part of current needs,Disaster,MEDIUM
Bridges in area 295 require urgent repair. for timely assistance,Infrastructure,MEDIUM
Many families are impacted due to lack of proper education resources. Case 169 for timely assistance,Education,MEDIUM
Village 118 requires installation of water supply systems. to support ongoing recovery,Water,MEDIUM
Electricity supply is unreliable in region 168. as part of current needs,Infrastructure,MEDIUM
Many families are impacted due to lack of proper education resources. Case 68 for routine support,Education,LOW
Residents report ongoing shelter problems making survival difficult. Case 651 to prepare for upcoming needs,Shelter,LOW
Families in region 72 lack stable income sources. to prepare for upcoming needs,Livelihood,LOW
Relief support is needed after disaster in locality 228. to help the affected community,Disaster,MEDIUM
Families in region 49 lack stable income sources. due to a critical situation,Livelihood,HIGH
"The house has leaks and cracks for the past week, the whole neighborhood is struggling but we are managing. We really need help soon because the whole neighborhood is struggling. for timely assistance",Shelter,MEDIUM
The situation regarding food has worsened significantly in recent days. Case 717 following a severe disaster,Food,HIGH
"roof broken unsafe living, very difficult situation to support ongoing recovery",Shelter,MEDIUM
The situation regarding health has worsened significantly in recent days. Case 597 due to a critical situation,Health,HIGH
Residents report ongoing shelter problems making survival difficult. Case 937 with people in urgent distress,Shelter,HIGH
Unemployment is rising in community 288. to prepare for upcoming needs,Livelihood,LOW
Many families are impacted due to lack of proper food resources. Case 422 as lives are at immediate risk,Food,HIGH
Earthquake impact is severe in region 308. to help the affected community,Disaster,MEDIUM
Sanitation infrastructure is inadequate in zone 5. as lives are at immediate risk,Sanitation,HIGH
Roads in village 324 are damaged and unsafe. as part of current needs,Infrastructure,MEDIUM
Public transport is unavailable in locality 228. following a severe disaster,Infrastructure,HIGH
Sanitation infrastructure is inadequate in zone 246. as a general requirement,Sanitation,LOW
Livelihood support is required for households in zone 194. due to a critical situation,Livelihood,HIGH
Roads in village 77 are damaged and unsafe. due to a critical situation,Infrastructure,HIGH
"In near the industrial belt, no major issue but need mosquito nets ever since the storm, my family is in trouble. to prepare for upcoming needs",Shelter,LOW
Workers in locality 203 are struggling to find jobs. for timely assistance,Livelihood,MEDIUM
Residents report ongoing health problems making survival difficult. Case 999 due to a critical situation,Health,HIGH
Roads in village 164 are damaged and unsafe. following a severe disaster,Infrastructure,HIGH
Household 406 reports lack of clean drinking water access. as a general requirement,Water,LOW
Electricity supply is unreliable in region 131. due to a critical situation,Infrastructure,HIGH
Community 101 is recovering from cyclone damage. to prepare for upcoming needs,Disaster,LOW
Household 277 reports lack of clean drinking water access. to help the affected community,Water,MEDIUM
The situation regarding health has worsened significantly in recent days. Case 510 with people in urgent distress,Health,HIGH
There has been a continuous problem with shelter services affecting daily life. Case 494 as lives are at immediate risk,Shelter,HIGH
Community 229 depends on contaminated water sources. as lives are at immediate risk,Water,HIGH
